country,year,pulmonaryConfirmado,pulmonaryDiagnosed,newCasesExtrapulmonary,popData2019,cases,deaths,cumulative
Rwanda,2020,3667,574,883,12626938.0,6659.0,56.0,2.4925930723272725
Senegal,2020,9626,996,1646,16296362.0,17075.0,349.0,5.061296152071429
Serbia,2020,134,162,116,6963764.0,266432.0,2331.0,160.21297636507143
Seychelles,2020,7,0,2,97741.0,187.0,0.0,9.3382231884
Singapore,2020,1086,719,420,5804343.0,58320.0,29.0,40.27001405842407
Slovakia,2020,66,49,22,5450421.0,132984.0,1175.0,107.28093135095745
Slovenia,2020,58,2,11,2080908.0,96314.0,1459.0,204.41205284235915
Somalia,2020,8371,4316,4467,15442906.0,4579.0,121.0,1.5092814985347984
Spain,2020,1592,557,800,46937060.0,1730575.0,47624.0,145.27149663844827
Sudan,2020,7461,4438,4834,42813237.0,21386.0,1347.0,2.310752562753623
Suriname,2020,67,13,13,581363.0,5353.0,117.0,47.47527856125926
Sweden,2020,176,18,113,10230185.0,320098.0,7514.0,115.08742178584527
Switzerland,2020,244,16,91,8544527.0,372329.0,5378.0,164.83263560925502
Tajikistan,2020,1683,805,1271,9321023.0,12704.0,88.0,7.982850523157895
Thailand,2020,42685,25034,12292,69625581.0,4237.0,60.0,0.2417651773391813
Togo,2020,1811,106,286,8082359.0,3251.0,66.0,1.945550510942029
Tunisia,2020,791,123,1720,11694721.0,111361.0,3894.0,44.347411535480425
Uganda,2020,31006,23471,3215,44269587.0,27532.0,221.0,2.778346874179104
Ukraine,2020,9042,3771,1343,43993643.0,900666.0,15247.0,94.11706450913043
Uruguay,2020,594,175,112,3461731.0,9708.0,92.0,10.895652545418182
Uzbekistan,2020,3946,2505,4442,32981715.0,75094.0,612.0,11.469361040839416
Vanuatu,2020,46,6,30,299882.0,1.0,0.0,0.009807779411764707
Yemen,2020,2379,2704,3541,29161922.0,2083.0,606.0,0.4006297160240964
Zambia,2020,16975,14989,2848,17861034.0,18274.0,367.0,5.184780177675277
Zimbabwe,2020,8072,5913,1140,14645473.0,11246.0,307.0,3.8105333433828994
